,s,radiusMin,radiusMax,radiusMean,radiusSd,plHydrophobicityMin,plHydrophobicityMax,plHydrophobicityMean,plHydrophobicitySd,pfHydrophobicityMin,pfHydrophobicityMax,pfHydrophobicityMean,pfHydrophobicitySd,densityMin,densityMax,densityMean,densitySd,energyMin,energyMax,energyMean,energySd
861,6.385183334350586,2.6443374156951904,2.6443374156951904,2.6443374156951904,0.0,-0.004360171966254711,-0.004360171966254711,-0.004360171966254711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
862,6.411355972290039,2.657533884048462,2.657533884048462,2.657533884048462,0.0,-0.0035723301116377115,-0.0035723301116377115,-0.0035723301116377115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
863,6.437528610229492,2.6709108352661133,2.6709108352661133,2.6709108352661133,0.0,-0.0029227882623672485,-0.0029227882623672485,-0.0029227882623672485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
864,6.463703155517578,2.684465169906616,2.684465169906616,2.684465169906616,0.0,-0.002388636814430356,-0.002388636814430356,-0.002388636814430356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
865,6.489875793457031,2.698192834854126,2.698192834854126,2.698192834854126,0.0,-0.001950401347130537,-0.001950401347130537,-0.001950401347130537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
866,6.516048431396484,2.7120933532714844,2.7120933532714844,2.7120933532714844,0.0,-0.0015914590330794454,-0.0015914590330794454,-0.0015914590330794454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
867,6.54222297668457,2.726163625717163,2.726163625717163,2.726163625717163,0.0,-0.001297858776524663,-0.001297858776524663,-0.001297858776524663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
868,6.568395614624023,2.7404000759124756,2.7404000759124756,2.7404000759124756,0.0,-0.0010580042144283652,-0.0010580042144283652,-0.0010580042144283652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
869,6.594568252563477,2.7548012733459473,2.7548012733459473,2.7548012733459473,0.0,-0.0008624050533398986,-0.0008624050533398986,-0.0008624050533398986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
870,6.62074089050293,2.769364356994629,2.769364356994629,2.769364356994629,0.0,-0.0007028168765828013,-0.0007028168765828013,-0.0007028168765828013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
871,6.646915435791016,2.784088134765625,2.784088134765625,2.784088134765625,0.0,-0.0005726650124415755,-0.0005726650124415755,-0.0005726650124415755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
872,6.673088073730469,2.79896879196167,2.79896879196167,2.79896879196167,0.0,-0.00046657564234919846,-0.00046657564234919846,-0.00046657564234919846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
873,6.699260711669922,2.8140053749084473,2.8140053749084473,2.8140053749084473,0.0,-0.00038011898868717253,-0.00038011898868717253,-0.00038011898868717253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
874,6.725433349609375,2.829195022583008,2.829195022583008,2.829195022583008,0.0,-0.00030967569909989834,-0.00030967569909989834,-0.00030967569909989834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
875,6.751607894897461,2.844536542892456,2.844536542892456,2.844536542892456,0.0,-0.00025228632148355246,-0.00025228632148355246,-0.00025228632148355246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
876,6.777780532836914,2.860023021697998,2.860023021697998,2.860023021697998,0.0,-0.00020558535470627248,-0.00020558535470627248,-0.00020558535470627248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
877,6.803953170776367,2.8756535053253174,2.8756535053253174,2.8756535053253174,0.0,-0.00016753634554333985,-0.00016753634554333985,-0.00016753634554333985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
878,6.83012580871582,2.8914246559143066,2.8914246559143066,2.8914246559143066,0.0,-0.0001365366915706545,-0.0001365366915706545,-0.0001365366915706545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
879,6.856300354003906,2.9073405265808105,2.9073405265808105,2.9073405265808105,0.0,-0.00011127803009003401,-0.00011127803009003401,-0.00011127803009003401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
880,6.882472991943359,2.92340087890625,2.92340087890625,2.92340087890625,0.0,-9.069974476005882e-05,-9.069974476005882e-05,-9.069974476005882e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
